es	en
¿Cuál es la relación de parentesco que usted tiene con el estudiante?	Cual es la relacion de parentesco que usted tiene con el estudiante?
¿Cuál es el nivel de estudios más alto que tiene la MADRE o APODERADA del estudiante?	Cual es el nivel de estudios mas alto que tiene la MADRE o APODERADA del estudiante?
¿Cuál es el nivel de estudios más alto que tiene el PADRE o APODERADO del estudiante?	Cual es el nivel de estudios mas alto que tiene el PADRE o APODERADO del estudiante?
¿De qué material están hechas principalmente las PAREDES de la casa del estudiante?	De que material estan hechas principalmente las PAREDES de la casa del estudiante?
¿De qué material están hechos principalmente los TECHOS de la casa del estudiante?	De que material estan hechos principalmente los TECHOS de la casa del estudiante?
¿De qué material están hechos principalmente los PISOS de la casa del estudiante?	De que material estan hechos principalmente los PISOS de la casa del estudiante?
¿De dónde viene el AGUA que usan en la casa del estudiante?	De donde viene el AGUA que usan en la casa del estudiante?
¿Cómo es el BAÑO en la casa del estudiante?	Como es el BANO en la casa del estudiante?
En la casa del estudiante, ¿cuál es la fuente de LUZ?	En la casa del estudiante, cual es la fuente de LUZ?
¿Cuántos de los siguientes objetos hay en la casa del estudiante?	Cuantos de los siguientes objetos hay en la casa del estudiante?
La casa del estudiante tiene:	La casa del estudiante tiene:
En su casa, ¿el estudiante tiene lo siguiente?	En su casa, el estudiante tiene lo siguiente?
¿Qué lengua hablan en la casa del estudiante la mayor parte del tiempo?	Que lengua hablan en la casa del estudiante la mayor parte del tiempo?
¿Cuál fue la primera lengua que el estudiante aprendió a hablar?	Cual fue la primera lengua que el estudiante aprendio a hablar?
Durante el último mes ¿cuántos días ha faltado el estudiante a la escuela?	Durante el ultimo mes cuantos dias ha faltado el estudiante a la escuela?
¿Cuál cree usted que será el nivel educativo más alto que alcanzará el estudiante?	Cual cree usted que sera el nivel educativo mas alto que alcanzara el estudiante?
En una semana habitual, ¿cuántos días a la semana el estudiante realiza las siguientes actividades escolares en casa?	En una semana habitual, cuantos dias a la semana el estudiante realiza las siguientes actividades escolares en casa?
¿Qué tan de acuerdo se encuentra con los siguientes enunciados acerca del estudiante?	Que tan de acuerdo se encuentra con los siguientes enunciados acerca del estudiante?
Cuando el estudiante hace sus actividades escolares, ¿con qué frecuencia presenta las siguientes conductas?	Cuando el estudiante hace sus actividades escolares, con que frecuencia presenta las siguientes conductas?
