medida500_L,medida500_M,n_students,p01,p02,p03_01,p03_02,p03_03,p03_04,p03_05,p04,p05_01,p05_02,p06_01,p06_02,p06_03,p06_04,p06_05,p07,p08_01,p08_02,p08_03,p08_04,p08_05,p08_06,p08_07,p08_08,p08_09,p08_10,p08_11,p08_12,p09,p10_01,p10_02,p10_03,p10_04,p10_05,p10_06,p11_01,p11_02,p11_03,p11_04,p11_05,p11_06,p11_07,p11_08,p11_09,p11_10,p11_11,p12_01,p12_02,p12_03,p12_04,p12_05,p12_06,p13_01,p13_02,p13_03,p13_04,p13_05,p13_06,p13_07,p13_08,p13_09,p13_10,p13_11,p13_12,p13_13,p13_14,p14_01,p14_02,p14_03,p14_04,p14_05,p14_06,p14_07,p14_08,p14_09,p14_10,p14_11,p15_01,p15_02,p15_03,p15_04,p15_05,p15_06,p15_07,p15_08,p15_09,p16_01,p16_02,p16_03,p16_04,p16_05,p16_06,p17_01,p17_02,p17_03,p17_04,p17_05,p17_06,p18_01,p18_02,p18_03,p18_04,p18_05,p18_06,p18_07,p18_08,p18_09,p19_01,p19_02,p19_03,p19_04,p19_05,p19_06,p19_07,p19_08,p19_09,p20_01,p20_02,p20_03,p20_04,p20_05,p20_06,p20_07,p20_08,p20_09,p21_01,p21_02,p21_03,p21_04,p21_05,p21_06,p21_07,p22_01,p22_02,p22_03,p22_04,p22_05
581.601,608.8303333333333,6,1,1,NA,NA,NA,2,NA,2,1,2,NA,NA,NA,NA,2,1,1,1,1,2,2,1,2,1,1,1,3,1,5,NA,NA,NA,1,1,2,1,2,1,1,3,2,1,1,1,3,2,1,2,1,1,3,2,7,7,4,7,6,7,5,4,5,4,1,1,1,6,2,2,2,2,1,2,1,2,1,1,1,4,4,4,4,4,4,4,4,3,5,5,4,5,5,5,5,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,1,1,3,2,2,1,3,2
511.2976956521739,515.6979166666666,24,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2,3,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,1,2,3,3,4,1,1,4,1,2,1,4,4,1,2,1,1,1,1,6,4,4,7,5,4,4,3,4,5,4,4,3,6,1,2,2,2,2,2,2,1,1,1,1,3,2,4,2,3,4,3,3,3,1,2,2,4,3,4,5,3,4,4,1,1,4,3,3,3,4,3,3,2,4,1,1,1,1,1,1,1,1,1,3,3,3,2,1,2,2,2,2,3,2,1,2,3,2,1,3,1,1,3,1
555.08559375,566.0769696969697,34,2,1,NA,NA,2,NA,NA,2,2,2,2,NA,NA,NA,NA,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,6,1,1,6,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,3,3,2,3,2,2,4,4,3,3,3,5,3,3,3,1,4,4,1,1,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,3,3,3,3,3,4,4,3,3,4,2,1,1,2,2,3,3,2,2,3,2
475.3187222222222,432.9918333333333,18,1,1,1,2,2,1,1,2,6,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,3,2,4,1,1,2,1,1,2,1,2,2,1,1,4,4,4,4,4,4,1,3,3,2,3,1,6,6,4,4,4,3,4,4,3,3,2,3,3,4,2,2,2,2,2,2,2,2,1,2,1,4,4,4,4,3,4,4,4,4,2,3,4,3,3,4,4,4,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,2,2,2,2,2,3,2,2,4,3,2,2,2,2,3,2,2,2,4,2
493.1679487179487,468.16213513513514,41,1,1,2,2,2,1,1,2,5,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,3,1,1,3,2,3,4,1,2,2,1,1,1,4,4,1,2,2,1,3,2,6,6,7,7,6,6,5,4,7,6,6,5,6,7,1,2,2,2,1,2,2,1,2,1,1,3,3,3,4,4,3,3,3,3,3,2,4,2,2,2,4,3,3,3,2,1,3,3,4,4,4,4,4,3,4,3,3,2,2,2,2,1,2,3,3,3,2,2,2,2,2,3,2,2,2,1,1,1,2,2,3,2,2,3,1
475.96504,441.6205882352941,54,2,1,2,2,2,1,1,2,6,1,NA,NA,NA,NA,NA,3,2,2,1,2,2,1,3,1,2,1,2,2,2,NA,NA,4,NA,NA,4,4,1,1,2,1,3,4,2,2,3,3,1,2,1,1,2,2,4,2,4,7,7,6,6,4,4,3,3,4,4,4,1,2,2,2,2,2,2,1,1,1,1,3,2,3,4,4,3,3,3,3,1,2,2,2,2,2,3,3,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,3,4,3,3,3,2,2,2,2,3,2,4,1,1,1,1,1,2,3,1,2,2,2
479.15077192982454,455.2324915254237,62,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,3,2,2,3,2,2,2,2,1,2,1,3,1,1,3,1,1,3,3,2,2,1,1,1,1,1,1,3,2,1,2,1,1,1,1,5,4,4,3,2,3,4,5,2,4,5,3,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,2,1,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,2,2,3,3,3,3,3,3,2,3,3,2,4,1,2,2,2,1,3,3,2,2,2,1
579.4504264705882,536.7199428571429,70,2,1,NA,NA,2,NA,NA,2,2,2,2,NA,NA,NA,NA,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,3,1,1,3,1,1,1,4,1,4,4,2,2,4,2,1,1,1,1,1,1,3,3,3,7,4,4,4,2,2,2,4,1,1,2,1,1,2,2,2,2,2,2,1,1,1,4,4,4,4,4,4,4,4,4,2,4,4,3,3,3,3,3,2,3,1,1,1,1,1,4,4,4,1,4,4,1,1,1,1,1,1,1,1,1,3,3,3,2,2,3,3,3,1,4,1,1,2,1,1,2,2,1,1,2,1
519.7898,483.4845,58,1,1,NA,NA,2,NA,NA,2,4,2,2,2,2,2,NA,2,1,4,4,2,2,2,4,1,4,2,2,1,1,1,1,3,1,1,3,3,4,3,1,4,3,4,3,3,4,3,1,1,1,1,1,1,3,2,4,4,4,4,4,4,2,2,2,2,2,4,1,2,2,2,2,2,2,1,1,1,1,3,3,2,3,3,3,3,3,3,4,3,4,1,4,5,3,3,3,3,1,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,2,3,3,1,1,2,2,3,2,2,2,2,3,3,2,2,2,3,2
506.0585,479.35267241379313,58,1,1,2,2,2,NA,NA,2,4,2,2,2,2,2,NA,2,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,4,1,1,4,1,1,2,1,1,2,3,2,3,3,2,1,2,1,1,2,2,7,7,3,3,4,4,3,2,3,2,4,2,2,3,2,1,1,2,1,2,2,1,2,1,1,3,2,2,4,4,3,3,3,2,2,2,4,2,1,5,5,4,2,2,1,1,4,4,4,4,4,4,1,4,4,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,3,3,2,2,4,2
