medida500_L,medida500_M,n_students,p01,p02,p03_01,p03_02,p03_03,p03_04,p03_05,p04,p05_01,p05_02,p06_01,p06_02,p06_03,p06_04,p06_05,p07_01,p07_02,p07_03,p07_04,p07_05,p07_06,p07_07,p08,p09,p10_01,p10_02,p10_03,p10_04,p10_05,p10_06,p10_07,p10_08,p10_09,p10_10,p10_11,p10_12,p11,p12_01,p12_02,p12_03,p13_01,p13_02,p13_03,p14_01,p14_02,p14_03,p14_04,p14_05,p14_06,p14_07,p14_08,p14_09,p14_10,p15_01,p15_02,p15_03,p15_04,p15_05,p15_06,p15_07,p15_08,p15_09,p15_10,p16_01,p16_02,p16_03,p16_04,p16_05,p17_01,p17_02,p17_03,p17_04,p17_05,p18_01,p18_02,p18_03,p18_04,p18_05,p18_06,p18_07,p18_08,p18_09,p18_10,p18_11,p19_01,p19_02,p19_03,p19_04,p19_05,p19_06,p20_01,p20_02,p20_03,p20_04,p20_05,p20_06,p20_07,p20_08,p20_09,p20_10,p20_11,p20_12,p20_13,p20_14,p21_01,p21_02,p21_03,p21_04,p21_05,p21_06,p21_07,p21_08,p21_09,p21_10,p21_11,p22_01,p22_02,p22_03,p22_04,p22_05,p22_06,p23_01,p23_02,p23_03,p23_04,p23_05,p23_06,p23_07,p23_08,p23_09,p24_01,p24_02,p24_03,p24_04,p24_05,p24_06,p24_07,p24_08,p24_09,p25_01,p25_02,p25_03,p25_04,p25_05,p25_06,p25_07,p26_01,p26_02,p26_03,p26_04,p26_05,p26_06,p27_01,p27_02,p27_03,p27_04,p27_05,p27_06,p27_07,p27_08,p27_09,p27_10,p27_11,p27_12
503.5665714285714,552.3787142857143,7,1,1,NA,2,NA,NA,NA,2,6,6,2,2,2,2,2,1,1,1,1,2,1,1,7,1,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,3,2,1,3,2,2,2,1,2,2,1,2,2,2,2,3,2,2,3,2,3,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,2,1,3,1,3,1,1,1,1,1,1,3,3,2,2,1,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,4,4,4,1,4,1,4,3,3,3,3,2,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,2,2,3,3,2,2,2,2,2
531.5778,553.9416666666667,15,2,3,2,2,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,5,1,1,6,1,1,6,2,3,1,3,2,2,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,3,2,2,2,3,1,2,2,2,2,2,2,1,2,1,1,5,4,2,3,2,3,4,1,1,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,1,1,1,4,4,2,1,1,2,2,2,4,2,1,1,2,2,3,3,1,1,3,1
425.1293333333333,358.81783333333334,6,1,1,NA,NA,NA,2,NA,2,4,1,1,1,1,1,1,1,1,1,1,2,2,2,7,1,1,2,1,1,3,1,1,1,2,1,1,2,5,1,1,3,1,1,3,2,2,2,1,1,2,1,1,1,1,2,3,2,3,3,2,3,2,3,3,1,1,1,2,2,1,1,1,2,2,1,4,3,4,3,4,4,4,4,3,4,1,2,2,1,2,1,7,7,2,7,3,4,4,3,2,2,5,1,2,4,1,1,1,2,2,2,2,2,2,1,1,4,3,2,3,1,1,3,3,3,3,4,4,4,4,3,2,2,2,3,3,2,2,3,2,1,1,1,1,1,1,1,2,1,1,2,1,1,4,1,2,2,2,2,2,2,2,2,3,2
423.0918571428571,399.572,7,2,1,1,2,2,2,NA,2,2,NA,1,1,1,1,1,1,1,1,1,2,1,1,7,1,1,1,1,1,2,1,1,1,1,1,2,2,5,1,1,6,1,1,6,1,2,1,1,2,2,1,2,2,2,NA,4,NA,NA,NA,NA,4,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,3,4,4,1,1,1,1,4,4,3,3,1,3,1,1,1,1,3,3,4,3,3,5,4,3,3,3,3,4,3,4,1,2,2,2,2,2,2,1,1,1,1,4,4,2,2,1,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,4,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,3,2
416.0896,398.5512,5,2,1,NA,NA,2,NA,NA,NA,4,3,NA,NA,NA,NA,2,1,1,1,1,1,2,2,7,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,2,2,1,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,1,1,1,1,2,1,3,2,1,1,3,3,3,3,1,3,1,2,1,1,1,1,4,4,2,5,3,3,2,2,2,2,3,1,3,2,1,2,2,2,2,2,1,1,1,1,1,4,4,3,4,1,1,3,3,3,3,3,3,4,4,4,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,2,3,1,2,2,2,2,2,2,3,1,3,2
487.10725,490.9072,20,1,1,NA,NA,NA,2,NA,1,2,1,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,5,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,3,3,3,2,3,3,3,3,2,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,2,4,4,4,4,4,1,2,1,1,1,1,2,1,3,2,3,4,4,2,2,3,4,3,3,4,2,2,1,2,2,2,2,2,2,1,1,5,5,4,4,1,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,1,1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3
427.219,432.53266666666667,3,2,1,NA,2,NA,NA,NA,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,7,2,3,2,2,2,3,1,2,1,1,1,1,2,4,1,1,4,1,1,4,1,1,1,1,1,1,1,1,2,1,2,3,2,2,3,2,3,2,2,3,1,1,2,1,1,1,1,1,1,2,1,4,4,1,1,4,2,4,4,4,4,1,2,2,1,1,1,4,1,2,7,1,4,4,2,4,4,3,1,2,2,1,2,2,2,2,2,2,1,1,1,1,4,3,2,1,1,1,1,1,1,1,1,4,1,1,1,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,3,2
448.81534782608696,400.00449019607845,51,2,1,NA,2,NA,NA,NA,2,2,2,2,2,2,NA,NA,2,1,1,1,1,1,1,4,2,2,2,2,2,3,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,NA,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,4,4,1,1,4,4,4,4,4,4,1,2,1,1,NA,1,7,7,7,6,5,6,5,6,6,7,4,4,4,4,2,2,2,2,1,2,1,1,1,1,1,5,4,5,5,2,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,4,3,3,4,3,3,4,1,1,1,1,1,1,3,2,3,2,3,2,3,3,2,2,2,2
402.5076363636364,349.18899999999996,11,2,NA,NA,NA,2,NA,NA,1,NA,NA,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,2,1,NA,2,2,2,3,3,1,2,2,5,2,1,4,2,1,4,1,2,2,NA,2,2,1,1,1,1,2,3,2,2,3,2,3,2,2,3,1,1,2,1,1,1,1,1,1,2,1,3,3,1,1,4,4,4,4,4,4,1,1,1,1,1,1,NA,1,1,1,1,4,3,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,3,4,3,3,2,2,1,2,2,2,2,3,2,2,2,2,2,3,1,1,1,1,1,1,3,2,2,2,2,2,3,3,2,2,3,2
419.5945217391304,367.60545833333333,24,2,1,NA,2,NA,NA,NA,2,3,3,NA,NA,NA,NA,2,1,1,1,1,2,1,1,7,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,1,6,1,2,2,2,2,2,1,1,1,1,3,3,3,2,3,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,3,4,3,3,2,4,2,3,4,2,3,2,2,1,2,2,1,4,3,3,5,3,5,5,2,3,2,2,2,1,2,2,1,2,2,2,1,2,1,1,1,1,4,5,1,3,1,1,1,4,1,1,4,4,4,4,4,3,3,3,3,3,2,2,3,2,1,1,1,4,3,3,4,1,1,1,2,1,1,4,1,3,1,1,1,1,3,1,1,3,1
