medida500_L,medida500_M,n_students,p01,p02_01,p02_02,p03,p04,p05_01,p05_02,p05_03,p05_04,p05_05,p05_06,p05_07,p05_08,p05_09,p06,p07_01,p07_02,p07_03,p07_04,p07_05,p07_06,p07_07,p08_01,p08_02,p08_03,p08_04,p08_05,p08_06,p08_07,p08_08,p08_09,p08_10,p08_11,p09_01,p09_02,p09_03,p09_04,p09_05,p09_06,p09_07,p09_08,p09_09,p09_10,p09_11,p09_12,p09_13,p09_14,p09_15,p10_01,p10_02,p10_03,p10_04,p10_05,p11_01,p11_02,p11_03,p11_04,p11_05,p11_06,p11_07,p11_08,p11_09,p11_10,p11_11,p11_12,p11_13,p11_14,p12_01,p12_02,p12_03,p12_04,p13_01,p13_02,p13_03,p13_04,p13_05,p13_06,p14_01,p14_02,p14_03,p14_04,p14_05,p14_06,p15_01,p15_02,p15_03,p15_04,p15_05,p15_06,p15_07,p15_08,p15_09,p15_10,p15_11,p16_01,p16_02,p16_03,p16_04,p16_05,p16_06,p16_07,p16_08,p16_09,p16_10,p16_11,p16_12,p17_01,p17_02,p17_03,p17_04,p17_05,p17_06,p17_07,p17_08,p18_01,p18_02,p18_03,p18_04,p18_05,p18_06,p18_07,p18_08,p18_09,p18_10,p18_11
494.8245,481.346875,8,1,6,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,10,4,2,2,4,2,2,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,1,2,1,3,1,1,1,2,3,3,2,2,2,2,2,1,1,4,1,4,3,1,3,2,3,4,4,4,3,3,3,3,3,3,3,3,3,1,2,2,2,1,1,2,1,1,1,2
520.0834,532.8734375,16,2,3,1,3,2,4,1,2,1,4,4,1,2,1,7,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,3,4,4,3,4,3,3,4,3,3,3,2,2,2,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,4,1,3,3,1,3,3,4,3,3,1,1,2,3,3,3,3,3,2,3,2,1,1,2,2,1,1,2,1,1,2
546.6583125,573.99825,16,2,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,2,1,3,2,2,3,3,3,3,2,2,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,4,3,4,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1
563.512875,558.6216470588236,18,1,2,2,2,5,4,4,1,4,4,4,4,2,2,8,3,2,2,2,2,2,3,4,4,4,4,4,4,4,4,3,4,4,NA,3,4,3,4,3,3,3,4,4,3,3,3,4,3,2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,4,3,1,1,1,1,1,1,2,1,1,1,1,1,3,4,3,3,3,3,3,3,3,3,4,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1
503.5665714285714,552.3787142857143,7,2,4,1,1,5,1,4,4,4,1,4,4,4,1,9,3,2,2,2,2,3,2,4,3,4,4,3,4,4,3,3,4,4,3,3,4,3,3,3,3,3,3,4,4,4,3,3,4,2,2,2,3,2,3,2,4,2,2,4,4,1,4,2,4,4,2,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,3,1,4,4,4,4,4,5,4,4,4,1,4,4,4,4,4,3,3,4,4,3,4,3,3,1,2,1,1,1,1,1,1,1,1,1
531.5778,553.9416666666667,15,1,2,2,1,3,2,2,2,2,3,1,2,3,2,7,3,2,2,2,3,3,2,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,2,1,4,1,4,1,3,1,2,3,3,1,3,4,4,4,3,3,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,2,3,2,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
548.29009375,514.3435806451613,32,1,6,6,2,5,2,4,1,4,4,4,4,4,4,9,2,1,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3,4,4,4,3,3,3,3,3,4,4,2,1,2,1,1,2,1,4,2,1,4,4,1,4,1,4,4,3,4,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,NA,1,3,2,3,3,3,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1
526.9539090909091,501.7269696969697,33,1,4,3,2,1,4,4,4,4,4,4,1,4,2,7,4,2,1,2,2,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,3,2,2,1,2,1,3,3,3,3,3,2,3,4,2,3,3,3,3,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,3,2,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,1,1,1
475.3187222222222,432.9918333333333,18,2,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,3,2,1,2,3,2,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,2,3,3,2,2,2,2,3,2,3,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1
520.2857619047619,481.5339,23,1,5,3,2,5,4,4,3,1,4,4,4,1,4,8,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,1,1,3,1,1,3,3,2,3,2,3,3,2,3,4,3,2,3,2,1,2,1,1,1,2,2,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,3,3,3,3,3,3,3,3,1,2,1,1,2,1,1,1,2,1,1
