"from","to","weight"
"p10_03","p10_06",0.997888811990012
"p10_02","p10_05",0.889153329200905
"p10_01","p10_04",0.756440700780735
"p11_10","p11_11",0.547669802310181
"p22_03","p22_05",0.487349234477259
"p11_08","p11_09",0.481203217588613
"p18_02","p18_03",0.435686965904692
"p18_08","p18_09",0.427233959688913
"p19_03","p19_04",0.418674291559502
"p12_05","p12_06",0.404697839774557
"p13_06","p13_07",0.39521982058497
"p19_01","p19_02",0.38010384203158
"p13_12","p13_13",0.368415512848229
"p16_04","p16_05",0.363234921834503
"p17_01","p17_02",0.347987322049502
"p20_02","p20_03",0.33609177559458
"p12_02","p12_03",0.333213376383801
"p16_05","p16_06",0.325645246635142
"p05_02","p06_05",0.318484348228707
"p20_06","p20_07",0.309709225594521
"p20_08","p20_09",0.303346065243946
"p20_01","p20_02",0.298667395280265
"p18_07","p18_09",0.296738948505516
"p08_07","p08_11",0.296173168724121
"p20_05","p20_06",0.295598106023366
"p13_09","p13_10",0.289032099442313
"p22_02","p22_03",0.288874672727893
"p17_05","p17_06",0.285133541659788
"p17_03","p17_04",0.2837100644975
"p11_06","p11_07",0.266145385279401
"p21_02","p21_03",0.262712026476922
"p20_07","p20_08",0.253084095367136
"p12_03","p12_05",0.245542966642016
"p21_04","p21_05",0.243491631857367
"p08_01","p08_02",0.242050493253463
"p18_05","p18_07",0.24010154382115
"p18_01","p18_02",0.235271051859009
"p15_07","p15_08",0.227730585894533
"p15_06","p15_07",0.22612408916773
"p20_03","p20_04",0.224683722275285
"p20_05","p20_09",0.221704382362807
"p21_05","p21_06",0.217086075391112
"p18_04","p18_05",0.216900991270915
"p11_02","p11_03",0.215383470348466
"p20_01","p20_03",0.213560608961814
"p15_05","p15_06",0.212917965852915
"p20_06","p20_08",0.212192720515061
"p20_02","p20_06",0.206674189967297
"p18_01","p18_03",0.205666916061755
"p05_01","p05_02",0.202127144185942
"p19_08","p19_09",0.198590202666132
"p12_03","p12_06",0.196372211068126
"p21_03","p21_04",0.194140320327716
"p16_02","p16_03",0.193960927955606
"p13_08","p13_09",0.192965567510589
"p20_05","p20_08",0.192941857309072
"p18_04","p18_09",0.192070806667911
"p13_11","p13_12",0.192042207905555
"p20_04","p20_06",0.187377551221561
"p10_01","p10_02",0.186799214300193
"p20_04","p20_07",0.184527839671338
"p20_04","p20_05",0.183487209875251
"p15_04","p15_05",0.182750148265419
"p18_05","p18_06",0.182432446011407
"p12_02","p12_05",0.178499298955915
"p21_02","p21_04",0.176802471212435
"p20_05","p20_07",0.174438825553297
"p13_03","p13_05",0.173953376053445
"p19_06","p19_08",0.173463828154963
"p16_04","p16_06",0.17323593300509
"p08_01","p08_04",0.172025649329248
"p19_06","p19_09",0.170062353628379
"p20_07","p20_09",0.169755492501263
"p18_01","p18_04",0.169631193453815
"p05_02","p06_04",0.167551146413737
"p19_06","p19_07",0.165819963926275
