"from","to","weight"
"p08_02","L",0.0123118512684114
"p08_09","L",0.00862418275321298
"p07","M",0.00828509496083299
"p08_03","L",0.00767894213316965
"p01","L",0.00717068523343918
"p08_01","L",0.00653276492204082
"p14_08","L",0.00633219607835155
"p08_12","L",0.00544506665977234
"p01","M",0.005096144242774
"p13_11","L",0.00417687677197768
"p04","L",0.0038331056137042
"p11_06","L",0.00378194429337903
"p19_09","L",0.00375649809959505
"p08_04","L",0.0037058453575908
"p11_08","L",0.00369747812883781
"p05_02","L",0.00367035636475743
"p13_10","L",0.00363517115479698
"p08_08","L",0.00353553036539288
"p19_02","L",0.003479587209617
"p11_06","M",0.00344090681395786
"p17_06","L",0.0034305176575389
"p17_03","L",0.00334554483836326
"p11_03","L",0.00332879615671375
"p14_09","L",0.00321808733276782
"p10_05","M",0.0032131590180113
"p03_04","L",0.0031647554131701
"p14_01","L",0.0031181880757237
"p17_05","L",0.00310515025314087
"p03_02","L",0.00305269611038148
"p21_07","L",0.0030512884374461
"p05_02","M",0.00297251278761354
"p16_06","L",0.00296151775020775
"p18_01","L",0.00295909013499352
"p16_06","M",0.00294790791925001
"p10_02","L",0.0028855752000512
"p03_04","M",0.00284185563915466
"p15_03","L",0.00279857380259443
"p11_04","L",0.00278947232651138
"p10_05","L",0.002781758851263
"p19_03","L",0.00265413336147697
"p14_08","M",0.0026489515308248
"p14_09","M",0.00242707736454281
"p12_01","M",0.00241683901364343
"p13_08","L",0.00237900656590128
"p11_08","M",0.00237567709766868
"p17_03","M",0.00233024721852061
"p14_02","L",0.00231095005874208
"p14_01","M",0.00229629582753588
"p08_07","M",0.00227648718946945
"p06_01","L",0.00225998398226942
"p08_02","M",0.00222970992563197
"p13_13","L",0.00221419627135676
"p15_02","L",0.00212735524707344
"p07","L",0.00211681830276276
"p06_02","L",0.00207692947729414
"p22_04","L",0.002067040716116
"p19_01","L",0.00206479583878289
"p11_05","L",0.00200348896866653
"p10_01","M",0.001978353646346
"L","M",0.00197647536292793
"p03_03","L",0.00197291340772489
"p11_10","L",0.00197236053144898
"p18_01","M",0.00195932863115378
"p10_04","M",0.00194175317501361
"p13_01","M",0.00190603371962632
"p02","L",0.00188076183145256
"p08_11","M",0.00180971722316237
"p04","M",0.00180000088039165
"p18_08","L",0.00179486323204235
"p09","M",0.00177761436249093
"p12_02","L",0.00174005672204711
"p15_05","M",0.00171530746312777
"p08_06","L",0.00170771377323782
"p13_02","L",0.00169737450830374
"p11_09","L",0.00169331110570707
"p16_02","L",0.00167826938483051
"p13_07","L",0.00166774571638231
"p13_11","M",0.00164764172909027
"p13_09","M",0.00162299471685044
"p08_11","L",0.00161321623392944
"p13_01","L",0.00156691208749493
