from,to,direction
academic_lang,academic_math,directed
socioemotional_learning,p08,directed
academic_lang,p05_08,directed
socioemotional_learning,p05_08,directed
p08,p05_08,directed
academic_lang,p26_05,directed
p05_08,p26_05,directed
academic_lang,p07,directed
academic_math,p07,directed
socioemotional_learning,p07,directed
p08,p07,directed
academic_lang,p23_08,directed
academic_math,p23_08,directed
p07,p23_08,directed
socioemotional_learning,p26_06,directed
p26_05,p26_06,directed
academic_lang,p23_07,directed
academic_math,p23_07,directed
socioemotional_learning,p23_07,directed
p23_08,p23_07,directed
p26_06,p23_07,directed
academic_lang,p09_12,directed
academic_math,p09_12,directed
p08,p09_12,directed
p05_08,p09_12,directed
p23_08,p09_12,directed
p23_07,p09_12,directed
academic_lang,p09_07,directed
academic_math,p09_07,directed
socioemotional_learning,p09_07,directed
p07,p09_07,directed
p23_08,p09_07,directed
p09_12,p09_07,directed
socioemotional_learning,p24_02,directed
p08,p24_02,directed
p05_08,p24_02,directed
p26_06,p24_02,directed
p23_07,p24_02,directed
p09_12,p24_02,directed
p09_07,p24_02,directed
socioemotional_learning,p26_03,directed
p05_08,p26_03,directed
p26_05,p26_03,directed
p26_06,p26_03,directed
socioemotional_learning,p26_04,directed
p26_05,p26_04,directed
p23_08,p26_04,directed
p26_06,p26_04,directed
p23_07,p26_04,directed
p26_03,p26_04,directed
academic_lang,p15_07,directed
academic_math,p15_07,directed
socioemotional_learning,p15_07,directed
p08,p15_07,directed
p05_08,p15_07,directed
p26_05,p15_07,directed
p07,p15_07,directed
p26_06,p15_07,directed
p09_12,p15_07,directed
p09_07,p15_07,directed
p24_02,p15_07,directed
p26_03,p15_07,directed
academic_math,p15_03,directed
socioemotional_learning,p15_03,directed
p08,p15_03,directed
p05_08,p15_03,directed
p26_05,p15_03,directed
p07,p15_03,directed
p26_06,p15_03,directed
p24_02,p15_03,directed
p15_07,p15_03,directed
academic_lang,p13_06,directed
academic_math,p13_06,directed
socioemotional_learning,p13_06,directed
p08,p13_06,directed
p26_05,p13_06,directed
p23_08,p13_06,directed
p23_07,p13_06,directed
p09_12,p13_06,directed
p09_07,p13_06,directed
academic_math,p15_06,directed
socioemotional_learning,p15_06,directed
p08,p15_06,directed
p05_08,p15_06,directed
p26_05,p15_06,directed
p07,p15_06,directed
p23_08,p15_06,directed
p26_06,p15_06,directed
p23_07,p15_06,directed
p09_07,p15_06,directed
p24_02,p15_06,directed
p26_03,p15_06,directed
p15_07,p15_06,directed
p15_03,p15_06,directed
p05_08,est6phse_eaapn,directed
p26_05,est6phse_eaapn,directed
p23_08,est6phse_eaapn,directed
p26_06,est6phse_eaapn,directed
p23_07,est6phse_eaapn,directed
p09_12,est6phse_eaapn,directed
p09_07,est6phse_eaapn,directed
p24_02,est6phse_eaapn,directed
p15_07,est6phse_eaapn,directed
p15_03,est6phse_eaapn,directed
p15_06,est6phse_eaapn,directed
socioemotional_learning,est6pmat_disrp,directed
p08,est6pmat_disrp,directed
p05_08,est6pmat_disrp,directed
p26_05,est6pmat_disrp,directed
p07,est6pmat_disrp,directed
p23_08,est6pmat_disrp,directed
p26_06,est6pmat_disrp,directed
p23_07,est6pmat_disrp,directed
p26_04,est6pmat_disrp,directed
p15_07,est6pmat_disrp,directed
p15_06,est6pmat_disrp,directed
est6phse_eaapn,est6pmat_disrp,directed
academic_lang,est6pgen_opardocp,directed
socioemotional_learning,est6pgen_opardocp,directed
p07,est6pgen_opardocp,directed
p23_08,est6pgen_opardocp,directed
p23_07,est6pgen_opardocp,directed
est6phse_eaapn,est6pgen_opardocp,directed
academic_math,est6pmat_ansie,directed
socioemotional_learning,est6pmat_ansie,directed
p05_08,est6pmat_ansie,directed
p26_05,est6pmat_ansie,directed
p07,est6pmat_ansie,directed
p23_08,est6pmat_ansie,directed
p26_06,est6pmat_ansie,directed
p23_07,est6pmat_ansie,directed
p09_07,est6pmat_ansie,directed
p24_02,est6pmat_ansie,directed
p26_03,est6pmat_ansie,directed
p26_04,est6pmat_ansie,directed
p15_07,est6pmat_ansie,directed
p15_03,est6pmat_ansie,directed
p15_06,est6pmat_ansie,directed
est6phse_eaapn,est6pmat_ansie,directed
est6pmat_disrp,est6pmat_ansie,directed
academic_lang,est6pgen_motlco,directed
academic_math,est6pgen_motlco,directed
p05_08,est6pgen_motlco,directed
p07,est6pgen_motlco,directed
p23_08,est6pgen_motlco,directed
p23_07,est6pgen_motlco,directed
p09_12,est6pgen_motlco,directed
p09_07,est6pgen_motlco,directed
p24_02,est6pgen_motlco,directed
p15_07,est6pgen_motlco,directed
p15_03,est6pgen_motlco,directed
p13_06,est6pgen_motlco,directed
p15_06,est6pgen_motlco,directed
est6phse_eaapn,est6pgen_motlco,directed
est6pmat_disrp,est6pgen_motlco,directed
est6pmat_ansie,est6pgen_motlco,directed
academic_lang,est6pgen_opparest,directed
academic_math,est6pgen_opparest,directed
socioemotional_learning,est6pgen_opparest,directed
p08,est6pgen_opparest,directed
p26_05,est6pgen_opparest,directed
p07,est6pgen_opparest,directed
p24_02,est6pgen_opparest,directed
p26_03,est6pgen_opparest,directed
p15_07,est6pgen_opparest,directed
p15_03,est6pgen_opparest,directed
p13_06,est6pgen_opparest,directed
p15_06,est6pgen_opparest,directed
est6pmat_disrp,est6pgen_opparest,directed
est6pgen_opardocp,est6pgen_opparest,directed
est6pmat_ansie,est6pgen_opparest,directed
est6pgen_motlco,est6pgen_opparest,directed
academic_math,est6pgen_violest,directed
socioemotional_learning,est6pgen_violest,directed
p05_08,est6pgen_violest,directed
p26_05,est6pgen_violest,directed
p26_06,est6pgen_violest,directed
p26_03,est6pgen_violest,directed
p26_04,est6pgen_violest,directed
p15_07,est6pgen_violest,directed
p15_03,est6pgen_violest,directed
p15_06,est6pgen_violest,directed
est6phse_eaapn,est6pgen_violest,directed
est6pmat_disrp,est6pgen_violest,directed
est6pmat_ansie,est6pgen_violest,directed
est6pgen_opparest,est6pgen_violest,directed
academic_lang,est6pgen_senper,directed
academic_math,est6pgen_senper,directed
socioemotional_learning,est6pgen_senper,directed
p05_08,est6pgen_senper,directed
p26_05,est6pgen_senper,directed
p07,est6pgen_senper,directed
p23_08,est6pgen_senper,directed
p26_06,est6pgen_senper,directed
p09_12,est6pgen_senper,directed
p09_07,est6pgen_senper,directed
p24_02,est6pgen_senper,directed
p26_03,est6pgen_senper,directed
p15_07,est6pgen_senper,directed
p15_03,est6pgen_senper,directed
p15_06,est6pgen_senper,directed
est6phse_eaapn,est6pgen_senper,directed
est6pmat_disrp,est6pgen_senper,directed
est6pgen_opardocp,est6pgen_senper,directed
est6pmat_ansie,est6pgen_senper,directed
est6pgen_motlco,est6pgen_senper,directed
est6pgen_opparest,est6pgen_senper,directed
est6pgen_violest,est6pgen_senper,directed
academic_lang,est6pgen_segesc,directed
academic_math,est6pgen_segesc,directed
socioemotional_learning,est6pgen_segesc,directed
p05_08,est6pgen_segesc,directed
p07,est6pgen_segesc,directed
p23_08,est6pgen_segesc,directed
p09_12,est6pgen_segesc,directed
p15_06,est6pgen_segesc,directed
est6pmat_disrp,est6pgen_segesc,directed
est6pgen_opardocp,est6pgen_segesc,directed
est6pmat_ansie,est6pgen_segesc,directed
est6pgen_motlco,est6pgen_segesc,directed
est6pgen_opparest,est6pgen_segesc,directed
est6pgen_senper,est6pgen_segesc,directed
academic_lang,est6phse_eaact,directed
academic_math,est6phse_eaact,directed
socioemotional_learning,est6phse_eaact,directed
p08,est6phse_eaact,directed
p26_05,est6phse_eaact,directed
p07,est6phse_eaact,directed
p23_08,est6phse_eaact,directed
p26_06,est6phse_eaact,directed
p23_07,est6phse_eaact,directed
p09_12,est6phse_eaact,directed
p09_07,est6phse_eaact,directed
p24_02,est6phse_eaact,directed
p26_03,est6phse_eaact,directed
p26_04,est6phse_eaact,directed
p15_03,est6phse_eaact,directed
p15_06,est6phse_eaact,directed
est6phse_eaapn,est6phse_eaact,directed
est6pmat_disrp,est6phse_eaact,directed
est6pgen_opardocp,est6phse_eaact,directed
est6pmat_ansie,est6phse_eaact,directed
est6pgen_motlco,est6phse_eaact,directed
est6pgen_opparest,est6phse_eaact,directed
est6pgen_violest,est6phse_eaact,directed
est6pgen_senper,est6phse_eaact,directed
est6pgen_segesc,est6phse_eaact,directed
academic_lang,est6pccss_pensodon,directed
academic_math,est6pccss_pensodon,directed
socioemotional_learning,est6pccss_pensodon,directed
p26_05,est6pccss_pensodon,directed
p23_08,est6pccss_pensodon,directed
p26_06,est6pccss_pensodon,directed
p23_07,est6pccss_pensodon,directed
p09_12,est6pccss_pensodon,directed
p09_07,est6pccss_pensodon,directed
p24_02,est6pccss_pensodon,directed
p26_04,est6pccss_pensodon,directed
p13_06,est6pccss_pensodon,directed
p15_06,est6pccss_pensodon,directed
est6phse_eaapn,est6pccss_pensodon,directed
est6pmat_disrp,est6pccss_pensodon,directed
est6pgen_opardocp,est6pccss_pensodon,directed
est6pmat_ansie,est6pccss_pensodon,directed
est6pgen_motlco,est6pccss_pensodon,directed
est6pgen_opparest,est6pccss_pensodon,directed
est6pgen_segesc,est6pccss_pensodon,directed
est6phse_eaact,est6pccss_pensodon,directed
est6pccss_pensodop,est6pccss_pensodon,directed
socioemotional_learning,est6pmat_actcog,directed
p08,est6pmat_actcog,directed
p23_07,est6pmat_actcog,directed
p09_12,est6pmat_actcog,directed
p09_07,est6pmat_actcog,directed
p13_06,est6pmat_actcog,directed
est6phse_eaapn,est6pmat_actcog,directed
est6pgen_opardocp,est6pmat_actcog,directed
est6pgen_opparest,est6pmat_actcog,directed
est6pgen_senper,est6pmat_actcog,directed
est6pgen_segesc,est6pmat_actcog,directed
est6pccss_pensodon,est6pmat_actcog,directed
socioemotional_learning,est6pccss_pensodop,directed
p26_05,est6pccss_pensodop,directed
p23_08,est6pccss_pensodop,directed
p23_07,est6pccss_pensodop,directed
p09_12,est6pccss_pensodop,directed
p09_07,est6pccss_pensodop,directed
p24_02,est6pccss_pensodop,directed
p13_06,est6pccss_pensodop,directed
est6phse_eaapn,est6pccss_pensodop,directed
est6pmat_disrp,est6pccss_pensodop,directed
est6pgen_opardocp,est6pccss_pensodop,directed
est6pgen_motlco,est6pccss_pensodop,directed
est6pgen_opparest,est6pccss_pensodop,directed
est6pgen_segesc,est6pccss_pensodop,directed
est6phse_eaact,est6pccss_pensodop,directed
est6pmat_actcog,est6pccss_pensodop,directed
academic_lang,est6pmat_motmat,directed
academic_math,est6pmat_motmat,directed
socioemotional_learning,est6pmat_motmat,directed
p08,est6pmat_motmat,directed
p26_05,est6pmat_motmat,directed
p07,est6pmat_motmat,directed
p26_06,est6pmat_motmat,directed
p24_02,est6pmat_motmat,directed
p26_03,est6pmat_motmat,directed
p15_03,est6pmat_motmat,directed
p15_06,est6pmat_motmat,directed
est6pmat_disrp,est6pmat_motmat,directed
est6pgen_opardocp,est6pmat_motmat,directed
est6pmat_ansie,est6pmat_motmat,directed
est6pgen_opparest,est6pmat_motmat,directed
est6pgen_violest,est6pmat_motmat,directed
est6pgen_senper,est6pmat_motmat,directed
est6pgen_segesc,est6pmat_motmat,directed
est6phse_eaact,est6pmat_motmat,directed
est6pccss_pensodon,est6pmat_motmat,directed
est6pmat_actcog,est6pmat_motmat,directed
est6pccss_pensodop,est6pmat_motmat,directed
socioemotional_learning,est6plec_actcog,directed
p08,est6plec_actcog,directed
p23_07,est6plec_actcog,directed
p09_12,est6plec_actcog,directed
p09_07,est6plec_actcog,directed
p13_06,est6plec_actcog,directed
est6pgen_opardocp,est6plec_actcog,directed
est6pgen_motlco,est6plec_actcog,directed
est6pgen_opparest,est6plec_actcog,directed
est6pgen_segesc,est6plec_actcog,directed
est6pccss_pensodon,est6plec_actcog,directed
est6pmat_actcog,est6plec_actcog,directed
est6pccss_pensodop,est6plec_actcog,directed
est6pmat_motmat,est6plec_actcog,directed
academic_lang,est6pgen_opardocn,directed
academic_math,est6pgen_opardocn,directed
