from,to,direction
academic_lang,academic_math,undirected
est6pmat_motmat,socioemotional_learning,directed
academic_lang,est6pccss_pensocne,directed
socioemotional_learning,est6pccss_pensocne,directed
academic_lang,est6pccss_pensocpo,directed
academic_math,est6pccss_pensocpo,directed
socioemotional_learning,est6pccss_pensocpo,directed
est6pccss_pensocne,est6pccss_pensocpo,directed
academic_math,est6pccss_pensodon,directed
socioemotional_learning,est6pccss_pensodon,directed
est6pccss_pensocne,est6pccss_pensodon,directed
est6pccss_pensocne,est6pccss_pensodop,directed
est6pccss_pensocpo,est6pccss_pensodop,directed
est6pccss_pensodon,est6pccss_pensodop,directed
academic_lang,est6pgen_diftext,directed
academic_math,est6pgen_diftext,directed
est6pccss_pensocne,est6pgen_diftext,directed
est6pccss_pensodon,est6pgen_diftext,directed
socioemotional_learning,est6pgen_estestre,directed
est6pccss_pensodon,est6pgen_estestre,directed
est6pccss_pensodop,est6pgen_estestre,directed
socioemotional_learning,est6pgen_estestsi,directed
est6pccss_pensocne,est6pgen_estestsi,directed
est6pccss_pensocpo,est6pgen_estestsi,directed
est6pccss_pensodop,est6pgen_estestsi,directed
est6pgen_estestre,est6pgen_estestsi,directed
est6plec_actcog,est6pgen_estestsi,directed
socioemotional_learning,est6pgen_intext,directed
est6pccss_pensocpo,est6pgen_intext,directed
est6pgen_diftext,est6pgen_intext,directed
est6pgen_estestsi,est6pgen_intext,directed
academic_math,est6pgen_motlau,directed
socioemotional_learning,est6pgen_motlau,directed
est6pccss_pensocpo,est6pgen_motlau,directed
est6pgen_estestre,est6pgen_motlau,directed
est6pgen_estestsi,est6pgen_motlau,directed
est6pgen_intext,est6pgen_motlau,directed
academic_lang,est6pgen_motlco,directed
academic_math,est6pgen_motlco,directed
est6pccss_pensodon,est6pgen_motlco,directed
est6pgen_diftext,est6pgen_motlco,directed
est6pgen_estestre,est6pgen_motlco,directed
est6pgen_estestsi,est6pgen_motlco,directed
est6pgen_motlau,est6pgen_motlco,directed
academic_lang,est6pgen_opardocn,directed
academic_math,est6pgen_opardocn,directed
est6pccss_pensodon,est6pgen_opardocn,directed
est6pgen_diftext,est6pgen_opardocn,directed
est6pgen_motlco,est6pgen_opardocn,directed
academic_lang,est6pgen_opardocp,directed
socioemotional_learning,est6pgen_opardocp,directed
est6pccss_pensocpo,est6pgen_opardocp,directed
est6pccss_pensodon,est6pgen_opardocp,directed
est6pccss_pensodop,est6pgen_opardocp,directed
est6pgen_estestsi,est6pgen_opardocp,directed
est6pgen_intext,est6pgen_opardocp,directed
est6pgen_opardocn,est6pgen_opardocp,directed
est6pgen_segesc,est6pgen_opardocp,directed
est6pmat_actcog,est6pgen_opardocp,directed
socioemotional_learning,est6pgen_opparest,directed
est6pccss_pensocpo,est6pgen_opparest,directed
est6pgen_estestsi,est6pgen_opparest,directed
