from,to,direction
academic_lang,academic_math,undirected
socioemotional_learning,p08,directed
academic_lang,p26_05,directed
socioemotional_learning,p26_05,directed
p05_08,p26_05,directed
academic_lang,p07,directed
academic_math,p07,directed
socioemotional_learning,p07,directed
p08,p07,directed
academic_lang,p23_08,directed
academic_math,p23_08,directed
p07,p23_08,directed
p26_05,p26_06,directed
p23_08,p26_06,directed
p26_03,p26_06,directed
p26_04,p26_06,directed
socioemotional_learning,p23_07,directed
p23_08,p23_07,directed
p26_06,p23_07,directed
academic_lang,p09_12,directed
academic_math,p09_12,directed
p08,p09_12,directed
p05_08,p09_12,directed
p23_08,p09_12,directed
p23_07,p09_12,directed
p09_07,p09_12,directed
p13_06,p09_12,directed
academic_lang,p09_07,directed
academic_math,p09_07,directed
p05_08,p09_07,directed
p23_08,p09_07,directed
p23_07,p09_07,directed
socioemotional_learning,p24_02,directed
p05_08,p24_02,directed
p26_05,p24_02,directed
p26_06,p24_02,directed
socioemotional_learning,p26_03,directed
p05_08,p26_03,directed
p26_05,p26_03,directed
p24_02,p26_03,directed
p26_05,p26_04,directed
p24_02,p26_04,directed
p26_03,p26_04,directed
academic_math,p15_07,directed
socioemotional_learning,p15_07,directed
p08,p15_07,directed
p05_08,p15_07,directed
p24_02,p15_07,directed
p15_03,p15_07,directed
p15_06,p15_07,directed
socioemotional_learning,p15_03,directed
p08,p15_03,directed
p05_08,p15_03,directed
p24_02,p15_03,directed
p15_04,p15_03,directed
academic_lang,p13_06,directed
academic_math,p13_06,directed
socioemotional_learning,p13_06,directed
p08,p13_06,directed
p23_08,p13_06,directed
p23_07,p13_06,directed
p09_07,p13_06,directed
academic_math,p15_06,directed
socioemotional_learning,p15_06,directed
p08,p15_06,directed
p05_08,p15_06,directed
p07,p15_06,directed
p23_08,p15_06,directed
p26_06,p15_06,directed
p24_02,p15_06,directed
p15_03,p15_06,directed
p15_04,p15_06,directed
academic_math,p12_09,directed
socioemotional_learning,p12_09,directed
p08,p12_09,directed
p23_07,p12_09,directed
p26_03,p12_09,directed
p13_06,p12_09,directed
p05_08,p14_03,directed
p26_05,p14_03,directed
p23_08,p14_03,directed
p26_06,p14_03,directed
p23_07,p14_03,directed
p09_12,p14_03,directed
p24_02,p14_03,directed
p26_03,p14_03,directed
p26_04,p14_03,directed
p15_06,p14_03,directed
academic_lang,p24_05,directed
p05_08,p24_05,directed
p26_05,p24_05,directed
p24_02,p24_05,directed
p15_03,p24_05,directed
socioemotional_learning,p05_04,directed
p08,p05_04,directed
p07,p05_04,directed
p23_08,p05_04,directed
p26_06,p05_04,directed
p26_04,p05_04,directed
p15_07,p05_04,directed
p15_06,p05_04,directed
p12_09,p05_04,directed
socioemotional_learning,p24_07,directed
p05_08,p24_07,directed
p07,p24_07,directed
p23_07,p24_07,directed
p09_12,p24_07,directed
p09_07,p24_07,directed
p24_02,p24_07,directed
p15_03,p24_07,directed
p12_09,p24_07,directed
p14_03,p24_07,directed
