variable,degree,in_degree,out_degree,betweenness,closeness
est6pgen_senper,32,22,10,17.513256085160112,0.8125
est6phse_eaact,31,25,6,8.543273290177314,0.6875
est6pgen_opparest,30,16,14,19.950715847619872,0.9375
socioemotional_learning,29,0,29,0,0.8222222222222222
p15_06,29,14,15,12.411466208370232,0.7777777777777778
est6pmat_ansie,29,17,12,11.553529700433725,0.7727272727272727
est6pgen_motlco,28,16,12,11.961000111000113,0.8
est6pccss_pensodon,28,22,6,16.293382494698285,0.7142857142857143
est6pgen_opardocn,27,25,2,1.4790043290043289,0.75
est6pgen_diftext,27,27,0,0,NA
p15_07,26,12,14,13.48121035311438,0.71875
est6pmat_disrp,26,12,14,10.99122811313214,0.8181818181818182
est6pgen_segesc,26,14,12,9.133133430037454,1
est6pmat_motmat,26,22,4,10.192431588019824,0.75
est6phse_csereg,26,24,2,6.780952380952381,1
academic_math,24,1,23,0.726923076923077,0.7804878048780488
p23_08,24,3,21,7.7546758796758795,0.75
p23_07,24,5,19,11.52486490118069,0.7435897435897436
p09_07,24,6,18,6.807040078944104,0.7647058823529411
est6phse_eaapn,24,11,13,17.477752802752804,0.7407407407407407
p07,23,4,19,7.2093849562889805,0.7209302325581395
p09_12,23,6,17,11.372471972471974,0.7297297297297297
academic_lang,22,0,22,0,0.7115384615384616
est6pccss_pensodop,22,16,6,7.161904761904761,0.6666666666666666
p26_05,21,2,19,7.942435342435343,0.6666666666666666
p26_06,21,2,19,5.48843923534326,0.7045454545454546
p24_02,21,7,14,7.081574857890648,0.7058823529411765
est6pgen_estestsi,21,20,1,0.5833333333333333,1
p13_06,20,9,11,4.294248295564085,0.7391304347826086
est6pgen_opardocp,20,6,14,3.7126566845607094,0.8888888888888888
est6pgen_violest,20,14,6,3.929794225382461,0.6363636363636364
est6pmat_actcog,20,12,8,7.6683834139716485,0.8333333333333334
p15_03,19,9,10,2.667289143604933,0.6470588235294118
est6pgen_estestre,19,19,0,0,NA
p08,18,1,17,0.38596491228070173,0.6206896551724138
p05_08,18,3,15,7.843143844459633,0.6346153846153846
est6plec_actcog,18,14,4,3.4441770647653,0.8333333333333334
p12_09,16,16,0,0,NA
p26_03,13,4,9,1.2642246642246642,0.5952380952380952
p26_04,13,6,7,1.3747326203208554,0.6129032258064516
