variable,degree,in_degree,out_degree,betweenness,closeness
est6pgen_opparest,25,16,9,74.07781385281385,0.5454545454545454
est6pgen_segesc,24,15,9,14.867532467532467,0.5454545454545454
est6pmat_motmat,24,24,0,0,NA
est6pccss_pensodon,23,6,17,6.896933621933622,0.84
est6pgen_intext,23,8,15,14.573448773448773,0.8571428571428571
est6pgen_senper,22,13,9,12.749675324675323,0.5
est6phse_eaact,22,18,4,3.140981240981241,0.3157894736842105
socioemotional_learning,21,0,21,0,0.8620689655172413
est6pccss_pensocne,20,3,17,3.7234487734487733,0.7741935483870968
est6pccss_pensocpo,20,4,16,3.8547979797979797,0.7666666666666667
est6pgen_motlco,20,9,11,16.69570707070707,0.6666666666666666
est6pgen_opardocp,20,10,10,6.518290043290044,0.5806451612903226
est6phse_csereg,20,14,6,4.65487012987013,0.3333333333333333
academic_math,19,1,18,0.2909090909090909,0.7647058823529411
est6pccss_pensodop,19,3,16,1.3325757575757575,0.7857142857142857
est6pgen_diftext,19,4,15,2.7115800865800868,0.7916666666666666
est6pgen_motlau,19,9,10,6.542099567099567,0.6428571428571429
est6pgen_opardocn,19,8,11,6.270346320346321,0.5625
est6pmat_ansie,19,16,3,52.91111111111112,0.3829787234042553
est6pmat_disrp,19,18,1,0.35396825396825393,1
academic_lang,18,1,17,0.16666666666666666,0.7428571428571429
est6pgen_estestsi,17,7,10,74.12738095238095,0.6923076923076923
est6pgen_violest,17,11,6,2.6231240981240984,0.33962264150943394
est6phse_eaapn,17,13,4,2.794877344877345,0.3103448275862069
est6pmat_actcog,17,16,1,0,1
est6pgen_violdoc,16,9,7,2.416305916305916,0.43902439024390244
est6plec_actcog,16,13,3,72.07777777777778,0.45
est6pgen_estestre,15,6,9,2.6277777777777778,0.6551724137931034
