variable,degree,in_degree,out_degree,betweenness,closeness
socioemotional_learning,14,1,13,185.20952380952377,0.6578947368421053
est6pgen_intext,14,6,8,61.39523809523811,0.3968253968253968
est6pgen_opardocp,14,7,7,45.11904761904762,0.4166666666666667
est6pgen_senper,14,7,7,67.37261904761905,0.352112676056338
est6phse_eaact,12,9,3,35.957142857142856,0.22522522522522523
est6pccss_pensocpo,11,2,9,17.383333333333333,0.5555555555555556
est6pccss_pensodon,11,4,7,73.93333333333334,0.45454545454545453
est6pgen_diftext,11,4,7,15.133333333333333,0.35714285714285715
est6pgen_motlco,11,7,4,19.5,0.28735632183908044
est6pgen_opardocn,11,3,8,7.3,0.423728813559322
est6pgen_opparest,11,6,5,283.1380952380953,0.4807692307692308
est6phse_csereg,11,8,3,15.145238095238094,0.23148148148148148
est6pmat_disrp,11,11,0,0,NA
academic_lang,10,1,9,6.65,0.5625
est6pmat_motmat,10,9,1,159.4,0.3333333333333333
est6pgen_estestsi,9,4,5,31.93333333333333,0.3968253968253968
est6pgen_motlau,9,5,4,29.82500000000001,0.38461538461538464
est6pmat_actcog,9,8,1,1.3333333333333333,0.25510204081632654
est6pmat_ansie,9,7,2,115.76666666666667,0.26595744680851063
academic_math,7,1,6,2.25,0.4909090909090909
est6pccss_pensocne,7,3,4,63.06666666666666,0.44642857142857145
est6pgen_segesc,7,3,4,28.3,0.38461538461538464
est6pgen_violdoc,7,4,3,2.969047619047619,0.2066115702479339
est6pgen_violest,7,4,3,2.769047619047619,0.1937984496124031
est6phse_eaapn,7,5,2,13.583333333333332,0.21929824561403508
est6plec_actcog,7,5,2,8,0.29411764705882354
est6pccss_pensodop,6,1,5,29.15,0.5102040816326531
est6pgen_estestre,5,1,4,4.416666666666666,0.36231884057971014
