variable,degree,in_degree,out_degree,betweenness,closeness
p15_07,35,21,14,176.13826535693408,0.7407407407407407
p22_02,35,31,4,20.194122103386807,0.36363636363636365
p15_06,34,17,17,18.666553838318542,0.8695652173913043
p05_04,34,18,16,15.984943270523774,0.8
p14_08,34,31,3,28.87934619302266,0.3508771929824561
p05_07,33,28,5,25.795981252149986,0.5
p05_02,33,32,1,18.413528138528136,0.32786885245901637
p14_01,32,18,14,14.886576054664298,0.6666666666666666
socioemotional_learning,31,0,31,0,0.8604651162790697
p23_07,31,5,26,7.951849158753183,0.8823529411764706
p24_07,31,17,14,15.542549656226136,0.7142857142857143
p15_04,31,23,8,37.65218487394958,0.5882352941176471
p10_13,31,23,8,7.190383255375515,0.45454545454545453
p14_02,31,29,2,0.9844115524997878,0.3389830508474576
p14_07,31,29,2,133.75178571428572,0.46511627906976744
p23_08,30,3,27,5.441863588767614,0.8648648648648649
p09_12,30,8,22,5.156343683835944,0.8055555555555556
p09_07,30,8,22,5.989944396848421,0.8235294117647058
p24_02,30,8,22,8.245092946269416,0.8666666666666667
p10_12,30,25,5,3.6890516621321576,0.31746031746031744
p05_08,29,3,26,3.9614985289907887,0.825
p26_05,29,4,25,4.216260433752693,0.7804878048780488
p14_03,29,13,16,4.063935215111686,0.8076923076923077
p24_05,29,15,14,12.413659276739779,0.7407407407407407
p21_03,29,20,9,10.727046869539132,0.5405405405405406
p24_03,29,21,8,8.614209532297767,0.5128205128205128
academic_math,28,1,27,0.8842555105712999,0.8292682926829268
p26_03,28,8,20,3.110743145743146,0.8333333333333334
p26_04,28,9,19,3.4839809158849406,0.8275862068965517
p09_09,28,16,12,10.754023781516045,0.625
p15_03,27,10,17,2.5525936481818836,0.8148148148148148
p07,26,4,22,5.509117576609837,0.75
p26_06,26,5,21,8.59012944571768,0.7560975609756098
p08,25,1,24,0.16666666666666666,0.7346938775510204
p10_14,25,22,3,2.0298525279330235,0.2857142857142857
p12_09,24,12,12,4.555350918431415,0.6176470588235294
academic_lang,23,0,23,0,0.7254901960784313
p13_06,23,9,14,3.5009121270885974,0.6875
p10_04,23,20,3,1.6279212290976994,0.29850746268656714
p13_08,21,16,5,5.683065953654189,0.3333333333333333
