variable,degree,in_degree,out_degree,betweenness,closeness
p22_02,32,30,2,22.126248751248752,0.2857142857142857
p15_06,31,19,12,112.66199911199912,0.7142857142857143
p15_07,29,12,17,11.924289599289597,0.84
p05_04,29,14,15,22.126176601176596,0.7692307692307693
p05_07,29,26,3,3.6333916083916087,0.29411764705882354
socioemotional_learning,28,0,28,0,0.8043478260869565
p14_08,28,25,3,119.03166000666,0.37735849056603776
p14_01,27,15,12,24.838467088467088,0.625
p21_03,27,18,9,19.346139971139962,0.5405405405405406
p10_13,27,20,7,13.205205905205908,0.38461538461538464
p24_02,26,5,21,16.324975024975025,0.8387096774193549
p14_03,26,14,12,75.50831945831948,0.6896551724137931
p05_08,25,1,24,0.829004329004329,0.7857142857142857
p26_05,25,3,22,7.683405483405484,0.7272727272727273
p23_08,25,3,22,19.68618326118326,0.7441860465116279
p23_07,25,5,20,11.390945165945165,0.6976744186046512
p24_03,25,18,7,22.954315129315138,0.5
p09_12,24,7,17,8.52070707070707,0.6590909090909091
p09_07,24,6,18,20.30239205239205,0.7368421052631579
p05_02,24,24,0,0,NA
p10_12,23,18,5,4.167182817182817,0.3389830508474576
p14_07,23,20,3,43.8952380952381,0.45454545454545453
p26_03,22,6,16,3.2813603063603063,0.7666666666666667
p24_07,22,14,8,11.30761183261183,0.45454545454545453
p09_09,22,13,9,11.131793206793201,0.5405405405405406
p14_02,22,16,6,115.7213786213786,0.5405405405405406
p07,21,4,17,10.531782106782106,0.6226415094339622
p26_06,21,4,17,8.962337662337662,0.6888888888888889
p15_04,21,15,6,10.054711954711955,0.5128205128205128
p26_04,20,6,14,4.412337662337663,0.7058823529411765
p12_09,20,10,10,8.578643578643579,0.5675675675675675
p10_04,20,18,2,2.540909090909091,0.3076923076923077
p10_14,20,19,1,1.9575757575757575,0.23255813953488372
p08,19,1,18,0.125,0.6071428571428571
p15_03,19,5,14,1.671861471861472,0.7333333333333333
p13_06,19,9,10,3.94011544011544,0.5789473684210527
p24_05,17,10,7,3.222691197691198,0.5128205128205128
p13_08,17,13,4,6.423484848484848,0.3508771929824561
academic_lang,16,1,15,2.2777777777777777,0.631578947368421
academic_math,16,1,15,0.7023809523809523,0.6101694915254238
