medida500_l,medida500_m,grade
375.63,375.717,6to
573.791,492.503,6to
517.434,472.944,6to
486.091,602.723,6to
375.63,424.507,6to
462.477,509.873,6to
584.38,774.7949999999998,6to
532.588,602.723,6to
573.791,598.627,6to
487.308,590.437,6to
458.886,459.529,6to
580.181,677.426,6to
725.758,778.255,6to
617.427,771.4059999999998,6to
551.637,694.019,6to
632.947,585.353,6to
424.257,380.8,6to
617.427,626.094,6to
532.588,493.491,6to
502.28,585.353,6to
516.947,472.45,6to
529.606,771.4059999999998,6to
604.16,476.192,6to
515.608,512.344,6to
645.606,548.637,6to
587.788,681.804,6to
329.802,378.117,6to
529.606,512.344,6to
514.452,562.758,6to
574.399,575.044,6to
324.446,340.624,6to
365.405,345.637,6to
617.427,590.437,6to
532.588,476.192,6to
502.28,440.747,6to
551.637,548.637,6to
587.788,638.027,6to
472.337,378.117,6to
680.357,677.426,6to
294.503,444.136,6to
390.601,481.77,6to
574.399,530.773,6to
544.638,557.251,6to
533.136,492.503,6to
489.499,474.78,6to
488.465,475.91,6to
390.601,417.093,6to
604.16,638.38,6to
479.396,475.981,6to
516.947,492.503,6to
565.148,590.437,6to
551.637,638.38,6to
277.045,414.093,6to
396.931,397.111,6to
420.423,369.786,6to
551.637,443.148,6to
349.825,369.856,6to
551.637,571.514,6to
546.221,626.094,6to
403.869,342.672,6to
580.181,677.426,6to
602.943,571.514,6to
460.469,499.564,6to
515.852,493.491,6to
488.465,492.503,6to
580.181,512.344,6to
365.405,475.91,6to
373.743,369.786,6to
432.108,602.723,6to
561.253,557.251,6to
602.943,571.514,6to
486.091,602.723,6to
389.384,336.176,6to
573.791,571.514,6to
432.108,476.192,6to
757.284,557.251,6to
573.791,598.627,6to
587.788,518.557,6to
597.465,558.098,6to
502.28,585.353,6to
649.501,598.627,6to
565.148,626.094,6to
565.148,681.804,6to
727.889,783.551,6to
580.181,677.426,6to
533.136,548.637,6to
420.423,481.77,6to
493.577,528.796,6to
553.524,579.563,6to
433.569,438.558,6to
519.26,488.337,6to
463.999,436.934,6to
536.909,622.422,6to
560.706,582.246,6to
611.524,699.033,6to
418.11,438.558,6to
551.029,757.567,6to
608.481,651.513,6to
507.453,476.334,6to
709.752,687.1,6to
426.752,470.967,6to
500.089,487.702,6to
745.234,928.581,6to
644.023,739.421,6to
570.139,603.288,6to
546.586,582.246,6to
589.006,664.717,6to
500.089,564.029,6to
486.639,615.644,6to
529.058,582.599,6to
642.928,603.288,6to
592.353,742.174,6to
589.006,580.481,6to
621.931,534.021,6to
612.802,569.325,6to
533.014,545.954,6to
687.964,638.451,6to
447.932,419.988,6to
519.26,472.591,6to
557.784,650.383,6to
589.614,644.24,6to
533.014,563.606,6to
469.963,437.711,6to
503.619,501.611,6to
478.057,420.482,6to
644.023,739.421,6to
464.912,585.777,6to
546.586,441.241,6to
538.309,579.563,6to
640.067,639.58,6to
519.26,619.245,6to
515.791,516.863,6to
570.139,507.684,6to
493.577,528.796,6to
687.964,597.215,6to
589.006,844.41499999999985,6to
469.963,501.823,6to
539.831,487.702,6to
491.386,472.591,6to
542.934,582.599,6to
612.802,569.325,6to
509.644,511.92,6to
611.524,638.451,6to
500.089,487.702,6to
505.018,488.337,6to
557.784,684.84,6to
568.8,521.311,6to
633.616,582.246,6to
570.139,563.041,6to
540.987,501.611,6to
464.912,488.337,6to
446.897,436.934,6to
434.908,476.334,6to
568.374,626.306,6to
611.524,501.823,6to
500.089,472.027,6to
424.196,488.337,6to
477.145,501.47,6to
642.928,847.028,6to
553.524,531.973,6to
589.006,548.284,6to
515.791,501.47,6to
642.928,622.422,6to
506.479,572.926,6to
505.018,472.591,6to
435.82,375.081,6to
589.614,622.422,6to
436.246,346.555,6to
487.369,472.027,6to
507.453,538.116,6to
519.808,528.796,6to
510.252,470.967,6to
418.11,502.953,6to
477.145,501.47,6to
552.794,603.288,6to
466.372,421.33,6to
456.209,454.798,6to
474.588,533.032,6to
644.023,602.017,6to
479.153,423.73,6to
524.007,454.798,6to
686.443,548.284,6to
450.305,454.092,6to
552.794,553.509,6to
633.616,563.606,6to
488.465,444.136,6to
617.427,562.758,6to
551.637,551.602,6to
544.638,621.363,6to
410.989,345.637,6to
529.606,464.824,6to
713.404,635.979,6to
530.215,626.306,6to
538.309,486.572,6to
686.443,517.993,6to
551.029,565.3,6to
574.034,650.383,6to
690.277,670.224,6to
436.246,477.675,6to
512.93,399.512,6to
566.183,538.257,6to
644.023,739.421,6to
479.153,492.221,6to
533.014,742.174,6to
687.964,664.717,6to
611.037,634.638,6to
505.018,518.84,6to
